Z_HS300,A1_CAPITALIN,A2_HKCapitalin,A4_NEWFUND,A5_SAVE_MKTVL,A6_ISPO,A8_Leverage_AMT,B1_Basis,B3_HS300AMT,B4_Leverage,B5_NEWINVSTOR,B6_PEG,B7_DVDM10YTRY,B8_PELevel,B9_Erating,C1_SHIBOR3M,C2_TEDSPRD,C3_AUFI,C4_ICEOIL,C5_CBOND,C6_COMMEDITY,C7_USDCNY,C8_OMO,C9_HOTMONEY
-0.008209813,-79.414213,0,19.7578,0.010044019,14.07933333,-0.00046705,-0.004838734,0.011700115,2.27E-06,-0.392318746,-0.013956308,-0.2522,-0.008753461,-0.0121,0.07092,1.7894,0.00330847,0.021651033,-0.001866299,-0.013811602,0.000107942,870,227.3878
-0.023839168,-138.453656,0,41.1176,0.073433652,14.07933333,0.00096778,-0.001437336,0.037302651,-1.34E-05,0.422538948,-0.012300281,0.6202,-0.014030487,0.0104,0.59448,2.1393,-0.008980495,-0.046516,-0.003968111,-0.000127779,-0.002114704,1130,227.3878
0.045724697,91.91522,0,19.1769,-0.123402805,14.07933333,0.000984754,0.004072708,0.116003369,2.58E-05,0.204517469,0.060476312,0.2244,0.052243706,-1.00E-04,0.81582,2.8157,-0.002633944,-0.068835135,0.001948588,-0.006199173,0.000401675,870,227.3878
0.007330693,-71.885768,0,9.5286,0.039501622,19.52533333,0.000632015,-4.75E-05,0.178671256,3.86E-05,0.110126669,0.015245396,-0.1013,0.024194605,-0.0038,0.34194,3.039,-0.015957452,0.051368999,0.000299446,0.01202032,-0.000880805,1200,227.4763
0.01930201,-76.976264,0,0,-0.065425575,19.52533333,-0.000750958,0.003672026,0.157288163,2.67E-05,-0.502558407,0.002802431,-0.077,0.012201215,-0.0036,-0.09032,3.1061,0.023409135,0.055854076,-0.000149712,0.02993795,0.000309143,180,227.4763
0.006317999,-100.039576,0,9.8962,-0.041179429,19.52533333,-0.000501528,0.003231498,-0.14747466,5.36E-05,0.078651452,0.005881217,-0.0659,0.006878795,-0.0009,-0.20542,2.9223,0.027537269,0.000255004,-0.001273456,-0.003726932,-0.000618381,-860,227.4763
-0.019656995,-262.21307,0,7.2639,0.044740865,19.52533333,-0.000122982,0.002286517,-0.148720792,5.43E-05,0.111673409,-0.026175356,-0.1393,-0.027784032,-0.0013,-0.15604,2.6309,0.006376929,0.007620052,-0.006919922,0.009114813,-0.002632395,190,227.4763
-0.031759286,-227.517698,0,10.9938,0.073889438,19.52533333,0.00072476,-0.000161167,-0.033875572,8.50E-05,0.033346469,-0.01625651,0.0448,-0.045832313,0.0043,0.0436,2.6998,0.012785045,-0.018816272,-0.000981688,-0.000376018,-0.000822107,320,227.4763
-0.025442057,-118.774436,0,55.91479,0.022628013,31.50866667,-0.000854204,-0.000420029,-0.222636055,4.21E-05,-0.247228378,-0.022088781,0.0564,-0.026067015,0.0031,-0.13212,2.4801,0.028388147,-0.057487091,-0.000604595,-0.048047403,0.000139651,440,-218.7542
-0.007640028,-117.200822,0,29.2556,0.03031942,31.50866667,0.00011362,-0.005204557,0.41491085,7.07E-05,0.21690289,-0.004581532,0.1361,-0.001318846,0.0082,-0.24504,2.317,0.053528394,-0.01883814,0.00542824,-0.017458123,-0.007459758,700,-218.7542
